date, pm25, o3, no2, so2, co
2021/7/30, 10, 25, 6, , 1
2021/7/31, 15, 20, 3, , 1
2021/8/1, 12, 28, 3, 1, 1
2021/6/2, 21, 45, 7, , 2
2021/6/3, 34, 24, 4, , 1
2021/6/4, 16, 26, 5, , 1
2021/6/5, 8, 66, 4, 1, 2
2021/6/6, 30, 45, 6, 1, 3
2021/6/7, 45, 48, 6, 1, 2
2021/6/8, 46, 40, 7, 1, 2
2021/6/9, 37, 34, 7, , 1
2021/6/10, 26, 22, 12, 1, 1
2021/6/11, 15, 23, 6, 1, 1
2021/6/12, 18, 33, 5, , 1
2021/6/13, 18, 36, 2, 1, 1
2021/6/14, 23, 26, 5, , 1
2021/6/15, 15, 16, 15, 1, 2
2021/6/16, 7, 19, 5, , 1
2021/6/17, 9, 18, 7, , 1
2021/6/18, 19, 50, 5, 1, 1
2021/6/19, 21, 44, 3, 1, 1
2021/6/20, 28, 47, 2, 1, 1
2021/6/21, 18, 32, 4, 1, 2
2021/6/22, 46, 12, 8, , 1
2021/6/23, 9, 23, 5, , 1
2021/6/24, 8, 25, 7, 1, 1
2021/6/25, 20, 20, 9, 1, 1
2021/6/26, 13, 18, 1, , 1
2021/6/27, 15, 26, 1, , 
2021/6/28, 25, 42, 3, 1, 1
2021/6/29, 34, 41, 4, 1, 1
2021/6/30, 24, 43, 4, 1, 1
2021/7/1, 20, 26, 5, , 1
2021/5/2, 12, 40, 4, 1, 1
2021/5/3, 22, 27, 7, , 1
2021/5/4, 16, 26, 9, , 1
2021/5/5, 22, 23, 9, , 1
2021/5/6, 14, 28, 6, , 1
2021/5/7, 9, 23, 8, 1, 1
2021/5/8, 16, 23, 5, , 1
2021/5/9, 15, 33, 3, , 1
2021/5/10, 14, 28, 8, , 1
2021/5/11, 20, 27, 5, 1, 1
2021/5/12, 14, 27, 5, , 1
2021/5/13, 12, 30, 11, 1, 2
2021/5/14, 17, 34, 9, , 2
2021/5/15, 28, 35, 8, 1, 2
2021/5/16, 32, 40, 6, , 1
2021/5/17, 30, 37, 11, , 2
2021/5/18, 26, 43, 12, , 1
2021/5/19, 23, 32, 9, , 1
2021/5/20, 21, 30, 8, , 1
2021/5/21, 19, 36, 5, , 1
2021/5/22, 19, 49, 5, 1, 2
2021/5/23, 33, 31, 3, , 1
2021/5/24, 25, 31, 4, , 1
2021/5/25, 13, 34, 3, , 1
